City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
luoyang,34.6836,112.4536,282.04,99.0,87.0,4.03,CN,1612484218.0
ilhabela,-23.7781,-45.3581,299.75,77.0,29.0,1.61,BR,1612484108.0
aden,12.7794,45.0367,296.54,70.0,0.0,7.35,YE,1612483955.0
praya,14.9215,-23.5087,294.15,73.0,75.0,7.2,CV,1612484219.0
port alfred,-33.5906,26.891,292.04,88.0,16.0,4.02,ZA,1612484198.0
ushuaia,-54.8,-68.3,283.15,76.0,20.0,15.43,AR,1612484184.0
new norfolk,-42.7826,147.0587,297.59,56.0,78.0,1.34,AU,1612484220.0
rocha,-34.4833,-54.3333,292.22,76.0,100.0,7.69,UY,1612484220.0
lorengau,-2.0226,147.2712,300.28,80.0,99.0,2.77,PG,1612484221.0
harper,4.375,-7.7169,299.13,90.0,17.0,3.58,LR,1612484221.0
bolungarvik,,,,,,,,
antofagasta,-23.65,-70.4,292.15,77.0,20.0,4.63,CL,1612484218.0
torbay,47.6666,-52.7314,278.71,100.0,1.0,3.09,CA,1612484190.0
bluff,-46.6,168.3333,287.44,65.0,58.0,3.34,NZ,1612484201.0
gat,31.61,34.7642,286.48,100.0,100.0,3.93,IL,1612484223.0
birchis,45.9667,22.1667,274.15,100.0,0.0,3.09,RO,1612484224.0
novoagansk,61.9449,76.6625,247.21,90.0,81.0,2.06,RU,1612484373.0
arica,-18.475,-70.3042,294.15,73.0,0.0,2.57,CL,1612483928.0
punta arenas,-53.15,-70.9167,284.15,54.0,0.0,11.83,CL,1612484011.0
khatanga,71.9667,102.5,238.29,78.0,0.0,3.97,RU,1612484225.0
coquimbo,-29.9533,-71.3436,289.15,82.0,75.0,4.12,CL,1612484225.0
abu zabad,12.35,29.25,292.06,26.0,14.0,8.55,SD,1612484226.0
busselton,-33.65,115.3333,289.82,66.0,0.0,0.89,AU,1612484174.0
innisfail,-17.5333,146.0333,301.97,67.0,74.0,1.96,AU,1612484087.0
albany,42.6001,-73.9662,274.15,59.0,20.0,2.12,US,1612484171.0
geraldton,-28.7667,114.6,296.15,33.0,40.0,10.8,AU,1612484195.0
karratha,-20.7377,116.8463,301.23,76.0,33.0,5.59,AU,1612484227.0
carnarvon,-24.8667,113.6333,299.39,79.0,100.0,10.5,AU,1612484227.0
champerico,14.3,-91.9167,300.15,74.0,40.0,2.06,GT,1612484228.0
rikitea,-23.1203,-134.9692,299.14,68.0,97.0,5.04,PF,1612484169.0
zhongshu,24.5167,103.7667,282.82,91.0,58.0,2.3,CN,1612484229.0
zemio,5.0314,25.1361,294.42,67.0,57.0,0.85,CF,1612484229.0
vostok,46.4856,135.8833,247.06,87.0,33.0,2.74,RU,1612484376.0
hay river,60.8156,-115.7999,243.15,69.0,99.0,5.66,CA,1612484230.0
kapaa,22.0752,-159.319,295.15,60.0,20.0,6.69,US,1612484230.0
darhan,49.4867,105.9228,260.31,92.0,100.0,0.51,MN,1612484231.0
huilong,31.8111,121.655,282.04,81.0,100.0,1.34,CN,1612484231.0
road town,18.4167,-64.6167,299.15,83.0,40.0,2.57,VG,1612484000.0
byron bay,-28.65,153.6167,301.15,65.0,40.0,4.12,AU,1612484273.0
cape town,-33.9258,18.4232,293.15,82.0,0.0,4.63,ZA,1612484158.0
pangoa,-12.1167,-73.0,294.67,96.0,92.0,0.57,PE,1612484232.0
severo-kurilsk,50.6789,156.125,261.97,88.0,77.0,4.85,RU,1612484202.0
naugarzan,,,,,,,,
qasigiannguit,68.8193,-51.1922,256.15,39.0,3.0,6.17,GL,1612484379.0
souillac,-20.5167,57.5167,298.15,78.0,20.0,3.09,MU,1612484233.0
jumla,29.2747,82.1838,273.49,84.0,87.0,3.45,NP,1612484233.0
dikson,73.5069,80.5464,252.88,91.0,100.0,6.78,RU,1612484211.0
mitchell,43.7094,-98.0298,267.15,58.0,1.0,5.14,US,1612484379.0
vaitupu,,,,,,,,
neuquen,-38.9516,-68.0591,303.15,39.0,0.0,1.03,AR,1612484380.0
illoqqortoormiut,,,,,,,,
cidreira,-30.1811,-50.2056,293.83,71.0,45.0,7.12,BR,1612484235.0
tuatapere,-46.1333,167.6833,292.81,51.0,78.0,1.97,NZ,1612484235.0
saint-philippe,-21.3585,55.7679,299.15,73.0,90.0,2.06,RE,1612484185.0
mahebourg,-20.4081,57.7,298.15,78.0,20.0,3.09,MU,1612484179.0
victor harbor,-35.5667,138.6167,290.37,68.0,9.0,1.34,AU,1612484381.0
fenoarivo,-18.933,47.4354,291.15,100.0,75.0,4.12,MG,1612484236.0
upernavik,72.7868,-56.1549,251.28,69.0,40.0,2.09,GL,1612484237.0
sinnamary,5.3833,-52.95,298.39,81.0,97.0,5.79,GF,1612484382.0
wa,,,,,,,,
kruisfontein,-34.0033,24.7314,290.93,93.0,0.0,1.21,ZA,1612484237.0
buraydah,26.326,43.975,291.15,45.0,40.0,4.63,SA,1612484180.0
mys shmidta,,,,,,,,
weyburn,49.6668,-103.8511,254.15,78.0,98.0,6.17,CA,1612484111.0
garden city,42.3256,-83.331,273.15,74.0,90.0,6.17,US,1612484163.0
okahandja,-21.9833,16.9167,295.15,46.0,53.0,2.06,,1612484238.0
mataura,-46.1927,168.8643,293.67,47.0,51.0,1.53,NZ,1612484192.0
forio,40.7342,13.8646,285.93,87.0,0.0,2.5,IT,1612484239.0
mar del plata,-38.0023,-57.5575,291.48,72.0,40.0,5.14,AR,1612484177.0
pleasanton,37.6624,-121.8747,288.15,29.0,1.0,4.12,US,1612484239.0
alyangula,-13.8483,136.4192,302.15,79.0,75.0,5.14,AU,1612484240.0
arraial do cabo,-22.9661,-42.0278,298.62,81.0,0.0,12.12,BR,1612484184.0
ust-barguzin,53.45,108.9833,258.56,92.0,100.0,0.38,RU,1612484385.0
bara,10.3744,10.7288,295.89,21.0,0.0,4.87,NG,1612484240.0
bonfim,3.0833,-59.95,301.54,65.0,79.0,4.9,BR,1612484240.0
belushya guba,,,,,,,,
yellowknife,62.456,-114.3525,240.15,68.0,20.0,4.12,CA,1612484105.0
sheltozero,61.3667,35.3667,260.29,95.0,100.0,6.1,RU,1612484241.0
castro,-24.7911,-50.0119,292.65,95.0,49.0,2.14,BR,1612484104.0
kodiak,57.79,-152.4072,274.15,69.0,1.0,1.25,US,1612484119.0
beloha,-25.1667,45.05,298.88,77.0,66.0,1.82,MG,1612484200.0
muriti,-1.9833,32.9167,296.41,71.0,36.0,2.11,TZ,1612484242.0
evensk,61.95,159.2333,256.24,88.0,100.0,9.17,RU,1612484242.0
bintulu,3.1667,113.0333,297.15,100.0,40.0,1.03,MY,1612484125.0
terrace,54.5163,-128.6035,273.15,100.0,90.0,1.54,CA,1612484107.0
mayumba,-3.432,10.6554,299.61,85.0,100.0,2.04,GA,1612484243.0
sur,22.5667,59.5289,291.72,70.0,0.0,2.23,OM,1612484207.0
leh,34.1667,77.5833,258.98,61.0,100.0,1.32,IN,1612484243.0
sungaipenuh,-2.0833,101.3833,290.96,94.0,79.0,1.48,ID,1612484244.0
srednekolymsk,67.45,153.6833,251.39,82.0,91.0,7.56,RU,1612484244.0
banda aceh,5.5577,95.3222,298.05,80.0,42.0,6.0,ID,1612484157.0
lebu,-37.6167,-73.65,290.5,74.0,0.0,0.98,CL,1612484212.0
atuona,-9.8,-139.0333,299.01,71.0,25.0,4.83,PF,1612484204.0
mineiros,-17.5694,-52.5511,295.72,85.0,99.0,0.75,BR,1612484245.0
alvaraes,-3.2208,-64.8042,302.15,79.0,20.0,1.54,BR,1612484245.0
san patricio,28.017,-97.5169,300.15,57.0,1.0,5.66,US,1612484245.0
sentyabrskiy,,,,,,,,
bereda,43.2686,-7.5406,280.93,100.0,100.0,0.45,ES,1612484190.0
comodoro rivadavia,-45.8667,-67.5,298.15,47.0,0.0,2.57,AR,1612484246.0
soe,-9.8607,124.28399999999999,294.6,96.0,87.0,3.87,ID,1612484246.0
camocim,-2.9022,-40.8411,299.17,79.0,75.0,5.95,BR,1612484247.0
deshnok,27.7986,73.3447,284.83,63.0,0.0,2.24,IN,1612484247.0
port hedland,-20.3167,118.5667,301.85,75.0,43.0,4.59,AU,1612484247.0
guerrero negro,27.9769,-114.0611,290.57,61.0,100.0,8.7,MX,1612484190.0
innoshima,34.2833,133.1833,277.15,65.0,0.0,1.03,JP,1612484248.0
kaitangata,-46.2817,169.8464,287.59,69.0,32.0,5.36,NZ,1612484248.0
mount gambier,-37.8333,140.7667,288.15,82.0,75.0,7.72,AU,1612484248.0
nikolskoye,59.7035,30.7861,259.82,85.0,75.0,4.0,RU,1612484248.0
verkhoyansk,67.5447,133.385,236.28,80.0,100.0,0.96,RU,1612484100.0
beringovskiy,63.05,179.3167,254.91,92.0,100.0,4.01,RU,1612484249.0
eganville,45.5334,-77.0994,270.93,68.0,1.0,1.03,CA,1612484249.0
margate,51.3813,1.3862,281.48,90.0,79.0,1.79,GB,1612484249.0
hithadhoo,-0.6,73.0833,301.11,76.0,100.0,4.41,MV,1612484233.0
east london,-33.0153,27.9116,295.88,74.0,91.0,3.0,ZA,1612483986.0
qaanaaq,77.484,-69.3632,243.74,61.0,55.0,3.83,GL,1612484116.0
samalaeulu,,,,,,,,
oistins,13.0667,-59.5333,299.15,61.0,20.0,8.23,BB,1612484238.0
paracuru,-3.41,-39.0306,300.37,77.0,56.0,7.6,BR,1612484250.0
banning,33.9256,-116.8764,292.59,29.0,0.0,1.57,US,1612484251.0
banjar,-8.19,114.9675,301.15,83.0,20.0,2.06,ID,1612484251.0
hasaki,35.7333,140.8333,278.15,45.0,20.0,4.12,JP,1612483965.0
hobart,-42.8794,147.3294,297.04,88.0,75.0,2.06,AU,1612484100.0
leningradskiy,69.3833,178.4167,240.69,85.0,100.0,5.14,RU,1612484252.0
bargal,,,,,,,,
gberia fotombu,9.8833,-11.1667,295.52,51.0,19.0,2.1,SL,1612484252.0
keti bandar,24.1447,67.4497,290.15,33.0,0.0,4.74,PK,1612484252.0
nara,34.6851,135.8049,279.82,70.0,75.0,2.06,JP,1612484253.0
linguere,15.3953,-15.1193,298.15,53.0,0.0,5.14,SN,1612484357.0
umzimvubu,,,,,,,,
barentsburg,,,,,,,,
tasiilaq,65.6145,-37.6368,270.15,80.0,75.0,8.23,GL,1612484172.0
mnogovershinnyy,53.9353,139.9242,245.93,87.0,99.0,3.46,RU,1612484254.0
jamestown,42.097,-79.2353,274.15,44.0,1.0,6.17,US,1612484197.0
akdepe,42.0551,59.3788,277.15,81.0,100.0,3.09,TM,1612484255.0
luderitz,-26.6481,15.1594,293.03,60.0,0.0,8.55,,1612484255.0
tuktoyaktuk,69.4541,-133.0374,236.15,74.0,40.0,4.63,CA,1612484234.0
hambantota,6.1241,81.1185,297.12,77.0,89.0,7.38,LK,1612484255.0
lasa,46.6166,10.7002,277.04,86.0,0.0,1.6,IT,1612484255.0
jackson,42.4165,-122.8345,282.04,49.0,1.0,0.4,US,1612483969.0
kazalinsk,,,,,,,,
santa fe,-31.6333,-60.7,298.15,60.0,1.0,0.89,AR,1612484256.0
faya,18.3851,42.4509,288.15,67.0,0.0,4.12,SA,1612484256.0
dolbeau,,,,,,,,
bengkulu,-3.8004,102.2655,297.22,84.0,75.0,1.98,ID,1612484178.0
slave lake,55.2834,-114.76899999999999,255.15,71.0,75.0,7.2,CA,1612484111.0
ternate,0.8,127.4,300.76,75.0,100.0,1.57,ID,1612484400.0
san-pedro,4.7485,-6.6363,299.06,89.0,8.0,3.61,CI,1612484251.0
faanui,-16.4833,-151.75,300.48,69.0,15.0,3.21,PF,1612484258.0
nantucket,41.2835,-70.0995,273.71,86.0,90.0,2.57,US,1612484201.0
barra do bugres,-15.0725,-57.1811,299.49,77.0,91.0,1.62,BR,1612484258.0
yulara,-25.2406,130.9889,293.15,60.0,90.0,5.14,AU,1612484401.0
khonuu,,,,,,,,
klaksvik,62.2266,-6.5889999999999995,274.15,69.0,99.0,8.23,FO,1612484259.0
bredasdorp,-34.5322,20.0403,292.15,82.0,76.0,1.54,ZA,1612484094.0
namibe,-15.1961,12.1522,295.14,70.0,0.0,3.13,AO,1612484259.0
edd,13.9297,41.6925,299.11,23.0,0.0,9.68,ER,1612484259.0
labelle,26.7617,-81.4384,287.59,67.0,1.0,2.55,US,1612484260.0
taolanaro,,,,,,,,
ulaangom,49.9811,92.0667,250.33,86.0,65.0,0.64,MN,1612484403.0
hermanus,-34.4187,19.2345,293.15,85.0,27.0,0.45,ZA,1612483998.0
ponta do sol,32.6667,-17.1,283.71,64.0,94.0,0.89,PT,1612484122.0
sao filipe,14.8961,-24.4956,295.1,78.0,91.0,5.44,CV,1612484261.0
sitka,57.0531,-135.33,276.15,93.0,40.0,6.69,US,1612484177.0
narsaq,60.9167,-46.05,264.15,48.0,88.0,2.06,GL,1612484104.0
teknaf,20.8624,92.3058,287.97,67.0,17.0,1.77,BD,1612484261.0
sioux lookout,50.1001,-91.917,261.15,79.0,90.0,5.66,CA,1612484262.0
fallon,39.4735,-118.7774,279.15,39.0,75.0,3.6,US,1612484127.0
calbuco,-41.768,-73.1273,293.15,64.0,0.0,3.6,CL,1612484262.0
chuy,-33.6971,-53.4616,291.47,84.0,62.0,5.82,UY,1612484106.0
ust-bolsheretsk,,,,,,,,
toliary,,,,,,,,
bambous virieux,-20.3428,57.7575,299.26,78.0,20.0,3.09,MU,1612484210.0
san cristobal,7.7669,-72.225,302.15,61.0,40.0,2.06,VE,1612484263.0
butaritari,3.0707,172.7902,299.61,86.0,100.0,6.04,KI,1612484116.0
nemuro,43.3236,145.575,260.15,72.0,20.0,2.06,JP,1612484002.0
shimanovsk,52.0,127.7,246.72,87.0,100.0,1.69,RU,1612484264.0
nauta,-4.5061,-73.5757,297.21,96.0,85.0,1.24,PE,1612484264.0
masindi,1.6744,31.715,294.09,63.0,11.0,1.25,UG,1612484264.0
kochetok,49.8801,36.7372,276.15,93.0,75.0,3.0,UA,1612484265.0
diego de almagro,-26.3667,-70.05,292.15,37.0,0.0,1.83,CL,1612484265.0
palaiokhora,,,,,,,,
roebourne,-20.7833,117.1333,301.27,74.0,33.0,4.6,AU,1612484265.0
ribeira grande,38.5167,-28.7,286.29,71.0,32.0,9.39,PT,1612484183.0
tessalit,20.1986,1.0114,293.32,21.0,75.0,6.68,ML,1612484266.0
kavieng,-2.5744,150.7967,301.93,75.0,95.0,3.12,PG,1612484266.0
saint anthony,45.0205,-93.21799999999999,265.15,67.0,1.0,7.72,US,1612484266.0
sainte-marie,-20.8968,55.5496,296.15,88.0,75.0,6.17,RE,1612484267.0
vardo,70.3705,31.1107,268.15,86.0,75.0,7.72,NO,1612484267.0
saldanha,-33.0117,17.9442,289.15,88.0,0.0,3.6,ZA,1612484267.0
velizh,55.6056,31.1967,260.72,95.0,100.0,3.12,RU,1612484267.0
afua,-0.1567,-50.3867,297.65,93.0,88.0,3.03,BR,1612484268.0
meulaboh,4.1363,96.1285,297.19,86.0,45.0,2.15,ID,1612484268.0
hilo,19.7297,-155.09,296.15,73.0,75.0,7.72,US,1612484176.0
barrow,71.2906,-156.7887,241.15,83.0,75.0,4.12,US,1612484182.0
adrar,20.5022,-10.0711,294.83,19.0,26.0,4.36,MR,1612484269.0
airai,-8.9266,125.4092,291.84,100.0,100.0,1.83,TL,1612484269.0
hundested,55.9667,11.8667,267.59,100.0,65.0,5.42,DK,1612484269.0
morondava,-20.2833,44.2833,300.7,77.0,100.0,2.6,MG,1612484269.0
lolua,,,,,,,,
amderma,,,,,,,,
olga,43.7444,135.2892,255.94,78.0,0.0,2.34,RU,1612484270.0
bubaque,11.2833,-15.8333,298.48,67.0,27.0,6.59,GW,1612484191.0
kavaratti,10.5669,72.642,300.24,76.0,61.0,4.77,IN,1612484330.0
noumea,-22.2763,166.4572,302.15,70.0,75.0,4.63,NC,1612483999.0
kroderen,,,,,,,,
havoysund,70.9963,24.6622,272.15,69.0,75.0,8.23,NO,1612484271.0
georgetown,5.4112,100.3354,298.15,83.0,20.0,3.47,MY,1612484178.0
yar-sale,66.8333,70.8333,243.47,87.0,69.0,3.04,RU,1612484272.0
bokspits,,,,,,,,
conde,-7.2597,-34.9075,299.15,83.0,0.0,2.06,BR,1612484272.0
colares,38.7992,-9.4469,284.82,100.0,20.0,4.12,PT,1612484349.0
dahegam,23.1667,72.8167,287.15,62.0,0.0,2.57,IN,1612484054.0
boquira,-12.8231,-42.7306,294.89,86.0,93.0,0.72,BR,1612484273.0
thompson,55.7435,-97.8558,251.15,71.0,90.0,4.63,CA,1612484273.0
tulun,54.5611,100.5792,258.51,91.0,100.0,3.96,RU,1612484273.0
halalo,,,,,,,,
bonavista,48.6499,-53.1147,277.15,100.0,95.0,3.01,CA,1612484274.0
merauke,-8.4667,140.3333,300.61,84.0,96.0,6.08,ID,1612484416.0
vaini,-21.2,-175.2,301.15,89.0,75.0,4.12,TO,1612484179.0
sayyan,15.1718,44.3244,278.5,61.0,0.0,1.41,YE,1612484274.0
constitucion,-35.3333,-72.4167,289.12,91.0,34.0,1.69,CL,1612484206.0
temaraia,,,,,,,,
creel,27.75,-107.6333,285.31,42.0,8.0,6.18,MX,1612484275.0
tsihombe,,,,,,,,
vao,-22.6667,167.4833,299.11,87.0,32.0,9.17,NC,1612484178.0
cherskiy,68.75,161.3,249.04,74.0,2.0,4.74,RU,1612484176.0
marawi,7.9986,124.2928,298.71,80.0,78.0,2.68,PH,1612484233.0
mitsamiouli,-11.3847,43.2844,301.49,68.0,38.0,2.47,KM,1612484276.0
shimoda,34.6667,138.95,282.15,57.0,20.0,4.12,JP,1612484276.0
porto walter,-8.2686,-72.7439,297.15,95.0,75.0,1.05,BR,1612484276.0
pevek,69.7008,170.3133,247.64,79.0,1.0,2.61,RU,1612484277.0
vestmannaeyjar,63.4427,-20.2734,277.51,72.0,100.0,13.94,IS,1612484277.0
doha,25.2867,51.5333,292.15,94.0,0.0,2.95,QA,1612484277.0
tamiahua,21.2667,-97.45,294.55,85.0,0.0,5.65,MX,1612484277.0
cheremukhovo,60.3484,59.9851,257.6,95.0,99.0,0.24,RU,1612484278.0
norman wells,65.282,-126.8329,233.15,67.0,40.0,1.03,CA,1612484098.0
ancud,-41.8697,-73.8203,298.15,38.0,0.0,5.14,CL,1612484278.0
lardos,36.0942,28.0157,288.15,88.0,20.0,5.66,GR,1612484239.0
burica,,,,,,,,
birao,10.2849,22.7882,298.65,17.0,64.0,6.21,CF,1612484279.0
port hardy,50.6996,-127.4199,279.15,100.0,90.0,2.06,CA,1612484196.0
daru,-9.0763,143.2092,302.48,71.0,52.0,5.52,PG,1612484279.0
pokhara,28.2333,83.9833,287.45,37.0,92.0,2.97,NP,1612484279.0
chokurdakh,70.6333,147.9167,248.14,87.0,49.0,8.96,RU,1612484189.0
lagoa,39.05,-27.9833,285.85,73.0,25.0,9.62,PT,1612484280.0
manzhouli,49.6,117.4333,259.36,89.0,43.0,6.91,CN,1612484280.0
dolores,-36.3132,-57.6792,291.36,57.0,0.0,4.96,AR,1612484280.0
touros,-5.1989,-35.4608,299.15,73.0,0.0,4.12,BR,1612484281.0
bethel,41.3712,-73.414,273.71,74.0,1.0,1.19,US,1612484207.0
iquitos,-3.7481,-73.2472,298.15,88.0,40.0,1.03,PE,1612484218.0
saskylakh,71.9167,114.0833,232.84,75.0,0.0,1.4,RU,1612484188.0
am timan,11.0297,20.2827,296.37,21.0,8.0,3.96,TD,1612484281.0
tigzirt,36.8886,4.1198,289.63,45.0,53.0,6.03,DZ,1612484282.0
puerto ayora,-0.7393,-90.3518,298.71,90.0,39.0,1.34,EC,1612484188.0
leua,48.2156,18.6071,277.04,90.0,55.0,0.45,SK,1612484282.0
taitung,22.7583,121.1444,291.15,77.0,75.0,2.57,TW,1612483994.0
marcona,,,,,,,,
alta floresta,-9.8756,-56.0861,297.15,100.0,40.0,0.51,BR,1612484283.0
fort nelson,58.8053,-122.7002,248.15,64.0,75.0,2.06,CA,1612484283.0
imbituba,-28.24,-48.6703,296.15,88.0,75.0,1.03,BR,1612484283.0
sovetskaya,44.7769,41.1722,282.57,61.0,96.0,3.39,RU,1612484284.0
miles city,46.4083,-105.8406,272.15,47.0,1.0,4.12,US,1612484057.0
blackburn,53.75,-2.4833,278.15,91.0,98.0,4.02,GB,1612484284.0
sola,-13.8833,167.55,304.15,74.0,75.0,7.14,VU,1612484284.0
denia,38.8408,0.1057,286.48,84.0,99.0,1.34,ES,1612484284.0
los llanos de aridane,28.6585,-17.9182,289.15,48.0,40.0,2.06,ES,1612484159.0
krasnyy chikoy,50.3643,108.7512,261.96,93.0,100.0,1.17,RU,1612484285.0
san quintin,30.4833,-115.95,289.02,66.0,62.0,8.49,MX,1612484285.0
fortuna,40.5982,-124.1573,285.93,71.0,1.0,5.14,US,1612484286.0
manpur,22.4333,75.6167,286.15,62.0,20.0,1.97,IN,1612484286.0
angoram,-4.0625,144.0661,300.46,83.0,62.0,0.96,PG,1612484286.0
ilulissat,69.2167,-51.1,256.15,39.0,0.0,6.17,GL,1612484192.0
rawson,-43.3002,-65.1023,303.1,20.0,0.0,11.26,AR,1612484185.0
muros,42.7762,-9.0603,283.15,92.0,94.0,2.53,ES,1612484126.0
the valley,18.217,-63.0578,299.26,78.0,20.0,4.63,AI,1612484287.0
ixtapa,20.7,-105.2,296.15,83.0,1.0,4.12,MX,1612484183.0
asfi,32.2994,-9.2372,286.56,79.0,100.0,5.73,MA,1612484287.0
provideniya,64.3833,-173.3,251.83,88.0,100.0,12.01,RU,1612484288.0
rodrigues alves,-7.7379999999999995,-72.6509,297.58,94.0,94.0,1.22,BR,1612484288.0
viedma,-40.8135,-62.9967,299.26,39.0,0.0,7.03,AR,1612484288.0
nizhneyansk,,,,,,,,
pisco,-13.7,-76.2167,296.15,73.0,0.0,7.72,PE,1612484200.0
aksarka,66.5606,67.7975,242.48,87.0,63.0,2.06,RU,1612484289.0
avarua,-21.2078,-159.775,302.15,70.0,40.0,2.06,CK,1612484289.0
mount pleasant,32.7941,-79.8626,283.15,81.0,1.0,4.61,US,1612484289.0
omsukchan,62.5333,155.8,245.74,84.0,100.0,1.92,RU,1612484289.0
avera,33.194,-82.5271,284.15,37.0,40.0,2.06,US,1612484290.0
haines junction,60.7522,-137.5108,247.15,64.0,94.0,0.35,CA,1612484290.0
kuznechikha,57.2161,42.3348,263.24,97.0,100.0,2.29,RU,1612484290.0
moa,20.6569,-74.9403,295.04,73.0,10.0,4.84,CU,1612484290.0
springbok,-29.6643,17.8865,287.98,62.0,0.0,0.93,ZA,1612484291.0
funadhoo,6.15,73.2667,300.49,71.0,99.0,2.3,MV,1612484291.0
sarkand,45.41,79.9186,272.65,77.0,100.0,1.55,KZ,1612484291.0
nioaque,-21.1353,-55.83,296.64,85.0,90.0,2.71,BR,1612484292.0
chumikan,54.7183,135.315,245.18,81.0,95.0,12.45,RU,1612484175.0
port macquarie,-31.4333,152.9167,302.04,59.0,13.0,0.89,AU,1612484292.0
saravan,39.7196,45.6483,275.15,93.0,75.0,0.71,AM,1612484292.0
khandbari,27.3747,87.2039,283.4,46.0,0.0,1.34,NP,1612484292.0
cabo san lucas,22.8909,-109.9124,300.15,24.0,40.0,2.57,MX,1612484174.0
mandurah,-32.55,115.7,290.93,53.0,0.0,7.99,AU,1612484293.0
guarapari,-20.6667,-40.4975,299.26,83.0,0.0,4.12,BR,1612484293.0
nehe,48.4833,124.8333,254.18,92.0,100.0,2.59,CN,1612484293.0
porteirinha,-15.7433,-43.0283,296.77,74.0,28.0,0.76,BR,1612484294.0
half moon bay,37.4636,-122.4286,289.15,71.0,1.0,6.17,US,1612484170.0
tadine,-21.55,167.8833,300.71,78.0,9.0,6.9,NC,1612484294.0
itarema,-2.9248,-39.9167,299.02,79.0,78.0,5.39,BR,1612484294.0
thunder bay,48.4001,-89.3168,270.37,93.0,90.0,1.03,CA,1612484103.0
yerbogachen,61.2767,108.0108,241.75,86.0,90.0,0.46,RU,1612484295.0
codrington,-38.2667,141.9667,286.25,80.0,100.0,5.26,AU,1612484295.0
hua hin,12.5707,99.9588,294.15,78.0,66.0,1.74,TH,1612484295.0
qazvin,36.2797,50.0049,280.15,49.0,0.0,2.06,IR,1612484217.0
palmer,42.1584,-72.3287,273.15,59.0,20.0,1.54,US,1612484296.0
kutum,14.2,24.6667,285.35,39.0,4.0,5.96,SD,1612484207.0
